Forecast_Id,Confirmed_Cases,Fatalities
1,7,0
2,7,0
3,11,0
4,16,0
5,21,0
6,22,0
7,22,0
8,22,0
9,24,0
10,24,0
11,40,1
12,40,1
13,74,1
14,84,2
15,94,4
16,110,4
17,110,4
18,120,4
19,170,4
20,174,4
21,174,4
22,174,4
23,174,4
24,174,4
25,174,4
26,174,4
27,174,4
28,23,1
29,33,1
30,38,1
31,42,1
32,51,1
33,55,1
34,59,2
35,64,2
36,70,2
37,76,2
38,89,2
39,104,4
40,123,5
41,146,5
42,174,6
43,186,8
44,197,10
45,212,10
46,223,11
47,243,15
48,243,15
49,243,15
50,243,15
51,243,15
52,243,15
53,243,15
54,243,15
55,24,1
56,26,2
57,37,3
58,48,4
59,54,4
60,60,4
61,74,7
62,87,9
63,90,11
64,139,15
65,201,17
66,230,17
67,264,19
68,302,21
69,367,25
70,409,26
71,454,29
72,511,31
73,584,35
74,716,44
75,716,44
76,716,44
77,716,44
78,716,44
79,716,44
80,716,44
81,716,44
82,1,0
83,1,0
84,1,0
85,1,0
86,2,0
87,39,0
88,39,0
89,53,0
90,75,0
91,88,0
92,113,1
93,133,1
94,164,1
95,188,1
96,224,3
97,267,3
98,308,3
99,334,6
100,370,8
101,376,12
102,376,12
103,376,12
104,376,12
105,376,12
106,376,12
107,376,12
108,376,12
109,0,0
110,1,0
111,1,0
112,1,0
113,1,0
114,1,0
115,1,0
116,1,0
117,1,0
118,1,0
119,1,0
120,3,0
121,3,0
122,3,0
123,7,0
124,7,0
125,7,0
126,7,0
127,7,0
128,7,0
129,7,0
130,7,0
131,7,0
132,7,0
133,7,0
134,7,0
135,7,0
136,19,1
137,31,2
138,34,2
139,45,2
140,56,2
141,68,2
142,79,2
143,97,3
144,128,3
145,158,4
146,266,4
147,301,4
148,387,6
149,387,8
150,502,9
151,589,13
152,690,18
153,745,19
154,820,23
155,1054,27
156,1054,27
157,1054,27
158,1054,27
159,1054,27
160,1054,27
161,1054,27
162,1054,27
163,4,0
164,8,0
165,18,0
166,26,0
167,52,0
168,78,0
169,84,0
