Id,Province_State,Country_Region,Lat,Long,Date,Confirmed_Cases,Fatalities
1,,Afghanistan,33,65,1,0,0
2,,Afghanistan,33,65,2,0,0
3,,Afghanistan,33,65,3,0,0
4,,Afghanistan,33,65,4,0,0
5,,Afghanistan,33,65,5,0,0
6,,Afghanistan,33,65,6,0,0
7,,Afghanistan,33,65,7,0,0
8,,Afghanistan,33,65,8,0,0
9,,Afghanistan,33,65,9,0,0
10,,Afghanistan,33,65,10,0,0
11,,Afghanistan,33,65,11,0,0
12,,Afghanistan,33,65,12,0,0
13,,Afghanistan,33,65,13,0,0
14,,Afghanistan,33,65,14,0,0
15,,Afghanistan,33,65,15,0,0
16,,Afghanistan,33,65,16,0,0
17,,Afghanistan,33,65,17,0,0
18,,Afghanistan,33,65,18,0,0
19,,Afghanistan,33,65,19,0,0
20,,Afghanistan,33,65,20,0,0
21,,Afghanistan,33,65,21,0,0
22,,Afghanistan,33,65,22,0,0
23,,Afghanistan,33,65,23,0,0
24,,Afghanistan,33,65,24,0,0
25,,Afghanistan,33,65,25,0,0
26,,Afghanistan,33,65,26,0,0
27,,Afghanistan,33,65,27,0,0
28,,Afghanistan,33,65,28,0,0
29,,Afghanistan,33,65,29,0,0
30,,Afghanistan,33,65,30,0,0
31,,Afghanistan,33,65,31,0,0
32,,Afghanistan,33,65,32,0,0
33,,Afghanistan,33,65,33,0,0
34,,Afghanistan,33,65,34,1,0
35,,Afghanistan,33,65,35,1,0
36,,Afghanistan,33,65,36,1,0
37,,Afghanistan,33,65,37,1,0
38,,Afghanistan,33,65,38,1,0
39,,Afghanistan,33,65,39,1,0
40,,Afghanistan,33,65,40,1,0
41,,Afghanistan,33,65,41,1,0
42,,Afghanistan,33,65,42,1,0
43,,Afghanistan,33,65,43,1,0
44,,Afghanistan,33,65,44,1,0
45,,Afghanistan,33,65,45,1,0
46,,Afghanistan,33,65,46,1,0
47,,Afghanistan,33,65,47,4,0
48,,Afghanistan,33,65,48,4,0
49,,Afghanistan,33,65,49,5,0
50,,Afghanistan,33,65,50,7,0
51,,Afghanistan,33,65,51,7,0
